job_id|freelancer_id|job_title|job_description|hourly_rate|weekly_hours_needed|project_length|experience_level|skills_required|earnings|feedback_for_freelancer|client_location|feedback_for_client|profile_link
0|317|Clio-experienced Immediate hire-Virtual Admin Assistant|Busy NYC law firm seeks a responsible and resourceful Virtual Assistant to join our team. Working remotely, the ideal candidate should be tech-savvy, able to communicate through multiple channels, and super organized.  Compensation: Pay is $10-$12 per hour and paid on a fee for service basis.  How to apply: Applicants should send a writing sample and resume.  Virtual Assistant Duties and Responsibilities: -must know Clio grow and clio manage. -Make phone calls; organize email correspondence and occasionally answer emails -Handle confidential employer and client information -Preparing representation letters and agreements for clients based on templates provided by the Attorney. -Preparing simple packets based on templates provided by the Attorney and documents from the client. -Translation of documents from English to Spanish.  Qualifications required: • Fully bi-lingual in English and Spanish. • Must have own computer and reliable internet. • Knowledge of and willingness to use WhatsApp and Facebook • Reliable phone access. • Experience with Clio (a must), Word, Google Docs, Adobe. Outlook|$10.00|More than 30 hrs/week|More than 6 months||Virtual Assistant,Customer Service,Scheduling,Data Entry|$3,096.67||United States New York|4.00|https://www.upwork.com/jobs/~01e3ad9a736628375a
0|317|Create 50 accounts using a specific flow|Need 50 accounts created for TikTok using the specified flow below, only doing fixed rate for 50 accounts created.  https://www.bhbots.com/help/tiktok/blackfox  We provide all the Gmails, you just have to follow the above to make the account. I will give you the profile picture and bio for the TikTok accounts. This should take around an hour.||Less than 30 hrs/week|Less than a month|Entry level|Data Entry|$7.00|5.0|United Kingdom London|5.00|https://www.upwork.com/jobs/~01aa8ada9189549d5f
0|711|Insurance Biller for Busy Mental Health Practice|I am looking for an medical biller for a busy group practice in mental health.  We are looking for someone with good communication and follow up skills, ability to troubleshoot unpaid claims, update statuses and manage adding additional providers to the network. Tasks include prior authorizations, claim submission and follow up, communication with owner and providers and excellent customer service skills.  We use Counsol practice management software for claims so prefer that a biller can work with that system.|$35.00|Less than 30 hrs/week|More than 6 months|Intermediate|Medical Billing & Coding,Administrative Support,Customer Service,Form Completion,File Maintenance|$2,257.50|5.0|United States Rochester|5.00|https://www.upwork.com/jobs/~01dcaf8ca098666620
0|711|Mental Health Medical Billing|Startup medical billing company is looking to partner with experienced billers able to process claims, handle denials and keep a practice workflow in excellent condition. If you love what you do, are able to work without supervision and are looking to grow with us, we want you on our team!|$37.00|Less than 30 hrs/week|Less than a month|Intermediate|Microsoft Office,Medical Mastermind Medical Billing Services,Data Entry,Accounts Receivable,Accounts Receivable Management,HIPAA,Virtual Assistance,Smartphone,Email Communication,Google Suite,Form Completion,Medical Translation,Communications,Invoicing|$562.50|5.0|United States Hallandale Beach|5.00|https://www.upwork.com/jobs/~01ec141cf039d6c1db
0|711|Medical billing expert needed for blogging|We're looking for a medical billing expert to turn around about 1-2 blogs per month. The blogs have already been researched, complete with keyword assignments and a thorough content outline. Your job will be to flesh out the sections we have already defined with your own knowledge, experience (and some research). The content outlines will be delivered as soon as the project is awarded.||||Intermediate|/Content Writing Deliverables,Blog Content,Article/Other,Medical Billing & Coding,Content Writing,Blog Writing|$300.00|5.0|United States Oakland|5.00|https://www.upwork.com/jobs/~01b88e6086b03fb9da
0|711|Experienced CPT Medical Coder|Need help from seasoned CPT coder to update Excel tool that highlights 2022 procedural coding changes. Project will require the ability to transition 2022 code changes into our template based on the the type of change (addition, modification, deletion).    Candidate must have access to new CPT 2022 code changes and Excel. They will also be required to sign an NDA and project freelancer contract. Looking for speedy turnaround.|||||Medical Billing & Coding|$350.00||United States Naples|5.00|https://www.upwork.com/jobs/~01055c74aa4805193e
0|711|Insurance Claims and Billing Administrator|Full-time Clinical Psychologist in private practice is seeking a Billing Assistant  Job Description: • Must comply with HIPAA regulations to protect patient privacy • Submit weekly claims to insurance companies and Employment Assistance Programs (EAPs) • Track reimbursements and communicate with insurance companies as needed • Have basic knowledge of CPT coding • Process CMS 1500 claim forms online • Track EAP sessions and use simple EAP program databases to bill • Set up simple system for Psychologist to track claims & reimbursements  Knowledge Preferred: Insurance credentialing practices Knowledge of Ability Choice Billing System  Psychologist practice hours are 4-5 days/week and this job would likely take no more than 5 hours/week. There is opportunity to work more, which can be discussed further when we speak.  Please reply with similar work experience, and I look forward to hearing from you!||Less than 30 hrs/week|3 to 6 months|Intermediate|Medical Transcription,Data Entry,Medical Procedure Coding,Medical Editing,Medical Billing & Coding,Accounting|$255.00|5.0|United States Orinda|5.00|https://www.upwork.com/jobs/~01cd0a95c68cd0e5fb
0|711|Mental Health Benefit Checks|Looking for individual to do ongoing benefit checks for mental health practice. Must have experience with Availity and similar, GoogleDrive, MS Teams and mental health EHRs.  Must maintain HIPAA compliance. Ability to phone insurance companies. Must be willing to sign a BAA. Must have exceptional references.|$20.00|Less than 30 hrs/week|More than 6 months|Intermediate|mental health,benefit checks|$2,123.34|5.0|United States Eugene|5.00|https://www.upwork.com/jobs/~01b4726e1b597df4cf
0|711|Part Time Medical Billing Specialist|Need someone to do medical billing for applied behavior analysis services.|$32.00|Less than 30 hrs/week|3 to 6 months|Intermediate|Medical Billing & Coding,availity|$240.00|5.0|United States Ridgefield|5.00|https://www.upwork.com/jobs/~01e9ddbf1bbea07191
0|711|Medical Insurance Biller needed for AR/Eob posting in Kareo PM|EOB Payment posting/AR Management/ Biller for Kareo PM|$16.00||1 to 3 months||/Data Entry Services,Batch Proof Reports/Data Entry Tools,Medical Records Software|$437.34|5.0|United States Fort Mill|5.00|https://www.upwork.com/jobs/~01854138e219383dab
0|711|medical billing and coding writer|Looking for a medical biller and coder that can draft a basic intro course on medical billing. More specifics will be provided to this individual.||||Intermediate||$210.00||United States Alexandria|5.00|https://www.upwork.com/jobs/~0106f39523b7c4bff6
0|1772|Behavioral Health Billing A/R Specialist|Zeeva Community Foundation is hiring a behavioral health billing/AR specialist to join our team! The main duties of this position are to ensure that insurances and patients payments are collected in a timely fashion.  We are looking for a detailed, competent and experienced medical biller and credentialer. The job is not easy, but it is rewarding. Zeeva is a fast growing non-profit psychotherapy practice, and there is a lot of growth opportunity.  This position involves:  · Follow up with rejected and denied claims · Verify insurances for prospective patients · Handle prior authorizations for Nevada Medicaid · Update client files with ERA's and any adjustments to payment · Contact clients regarding billing issues and/or insurance rejections · Get payment for outstanding claims (past 30 days) · Have 0 outstanding claims that are over 60 days past due. · Credential new providers and follow-up · Negotiate better rates with insurance carriers · Work along side our welcome coordinator and admin team  Experience:  · Prior billing and collections experience required. Preferably in a behavioral health setting.  Candidates for this position must be: *firm but aggressive about collecting payments *provide detailed reporting on receivables to management *thrive on being busy and working in a busy and fast paced environment *love being organized *be honest and genuine *have stellar conflict resolution and communication skills *align with our mission and core values *get a sense of ‘job well done’ when things are complete * responsible, prompt and show up to everything in your life on time (or early) * Proactive, Independent self-starter  If this all this sounds good to you, keep reading and apply only if you are truly interested and confident you want this job, have the experience to do it right...  At Zeeva, our mission is to provide quality, accessible, and personalized behavioral health services, so you can live your best life. Our 5 core values are what shape our identity as a practice, and make us unique and different from others. We are ethical, accountable, supportive, growth-oriented, and authentic.||More than 30 hrs/week|More than 6 months||/Virtual Assistance Focus,Executive Support/General Virtual Assistance Skills,File Management,Light Bookkeeping,Task Coordination,Light Project Management/Other,Medical Billing & Coding,Data Entry,Virtual Assistant,Communications||4.4|United States Henderson|4.40|https://www.upwork.com/jobs/~010b2ef2ae97093b3c
0|1772|Care Coordinator - Auditor|Care Coordinator - Auditor  Peak - Psychedelic Therapy for Everyone https://withpeak.com  At Peak, everything you do will significantly impact the mental health of all our patients. Peak brings psychedelic therapy to an at-home setting and we've seen tremendous results with patients that have never been able to break away from depression or anxiety. As the auditor, you are ensuring that our system is optimized and our data is accurate so doctors can do their jobs.  You are a fit if you have your own mental health journey and can empathize with patients. You leap at the idea that psychedelics are changing the world. Since we are a startup, you value pragmatism, speed, and impact over structure, systems, and guidance. We need you to be self-driven, autonomous, and outcomes-driven.  Your goal is to ensure that the business is running smoothly and data is cleaned up.  Responsibilities  - Ensure that patient's data entries are accurate and valid - Audit schedules to ensure that requirements are met - Upload data for doctors to use - Audit prescriptions to ensure they are sent  Requirements  - Bachelor's degree or equivalent - 2+ years of experience in data entry - Extremely detail-oriented and excellent communication skills (verbal, written) - Technically versed and confident in learning new applications (Zendesk, Excel, Medical Software) - Passion and knowledge of Mental Health - Must be able to work US hours.||Less than 30 hrs/week|3 to 6 months|Intermediate|Scheduling,Administrative Support,Communications,Email Communication,Data Entry,Medical Report,Customer Service,File Maintenance,English,Google Suite,Customer Support,Virtual Assistant,Virtual Assistance,Microsoft Excel,Pharmaceutical Industry||5.0|United States San Francisco|5.00|https://www.upwork.com/jobs/~0174a014a8cdbec206
0|1772|US Medical Provider Credentialing Help|I need help completing credentialing of a new physical therapist that is opening a new practice location for us. The therapist will need to be credentialed with our current insurances including Medicare, Independence Blue Cross, Aetna, Cigna, United Healthcare, etc.||Less than 30 hrs/week|Less than a month|Intermediate|Administrative Support||5.0|United States Holland|5.00|https://www.upwork.com/jobs/~0135531cefa1f11d2f
0|1772|Medical Credentialing Assistant|We're seeking an experienced Virtual Assistant to support our fast growing behavioral health group. You'll be responsible for (a) data entry to fill out applications for our providers and (b) data entry to log your work and keep our records up to date for who has been submitted or not. The job will begin as 10-20 hours a week and expand up to 40/week depending on mutual fit. You will work closely with our credentialing team on a day-to-day basis.  We're looking for: - Experience in or familiarity with healthcare credentialing and/or billing - Extremely detail oriented & organized (highly important) - Strong experience with spreadsheets (important) - Follows instructions or asks questions when unsure - Strong communicator and team player - Access to fast WiFi and a computer with video capacity - Able to work at least 4 hours a day  What you can expect from us: - Fast-paced, close-knit, mission driven team - Meritocratic environment where we value you and your work, and have the opportunity to promote those who do exceptionally - Steady full-time remote work with prompt payment||More than 30 hrs/week|More than 6 months|Intermediate|/Virtual Assistance Focus,Virtual Assistance/General Virtual Assistance Skills,Data Entry,Email Communication,File Maintenance,File Management/Other,Administrative Support,Virtual Assistant|||United States Miami|5.00|https://www.upwork.com/jobs/~012d024ce1b9701691
0|1772|Medical Billing Services and Credentiailig Required|Need a Medical Billing Person who can work on Credentialing and Medical billing Claims.  Credentialing of Payers  Create claims and submitted electronically/paper every day for all payers (GOVT. Commercial and WC PIP) for OON And In-network  providers  Entered billing using ICD 10 and according to state LCD guidelines Fast billing entry  Working on unpaid claims and denials for timely payment and cash flow.  Work on queries received from patients, insurance carriers, and employers.  Apply payments and adjustments.  Immediate denial working  Work on denied/rejected claims on EDI reports.  Update patient and insurance demographics.|||||/Virtual Assistance Focus,Virtual Assistance/General Virtual Assistance Skills,Data Entry/General Virtual Assistance Services,Providing Information to Callers/Other,CRM Software||5.0|Pakistan Rawalpindi|5.00|https://www.upwork.com/jobs/~015c4f4b73ab4e2019
0|818|Legal Virtual Assistant|We are a boutique law firm in California, USA. Looking for a virtual assistant to join our team. This is a long-term position, with potential to increase hours gradually/ become a full-time position depending on job performance.  Requirements: -Must be willing to work Monday-Friday during our work hours 8-6pm PST. -Must be detail oriented and organized (cannot be stressed enough) -Must be proficient in: Word, Adobe/PDF, Google Docs -Previous experience working with law firm in same field a plus  Tasks: -Sending and saving signed documents via Docusign -Saving and organizing client information, data and documents in firm software -Reviewing and verifying information before submitting/ sending to client/ electronically filing -Data entry -Electronically file documents with Court -Opening matters in case management system -Regularly updating case management with case-related activities -Inputting client data in case management software -Keep track of case deadlines -Draft legal docs using case management software and Word -Drafting and finalize document filings -Following up with third parties on appointment status, authorization status, other requests and deadlines -Communicate with team regularly via Slack  If interested in this job, please reach out with the following: 1-Your past (relevant or similar) job experience 2-Confirm availability to work during our business hours PST 3-One personal and one professional / career goal|$9.00|Less than 30 hrs/week|More than 6 months|Intermediate|Virtual Assistant,Legal,Data Entry,Communications,Draft Correspondence,Form Completion,Administrative Support,Email Communication|$165.00|4.6|United States Placentia|4.60|https://www.upwork.com/jobs/~01c68054f717c4516c
0|818|Law Firm Intake Coordinator and Client Success Specialist|Legal Intake Specialist and Client Success Specialist Job Summary  Our growing law practice is seeking a legal intake specialist to join our team! You’ll survey prospective clients and empathize with them on the details of their case, manage new client onboarding and data entry, and help our lawyers book and manage their appointments.  We’ll provide the training and resources to help you flourish in your role on a tight-knit, supportive, and passionate legal team. If you have prior customer service experience, great communication skills, and a passion for helping others, apply today!  Legal Intake Specialist Responsibilities Evaluate prospective client inquiries and phone calls, analyzing their case fit and making sure they feel seen and heard.  Set appointments for potential clients that meet our criteria to keep our lawyers’ schedules organized and grow our caseload.  Supervise new client onboarding and current client files through data entry and paperwork collection to ensure our cases are managed efficiently.  Work with marketing to collaborate on outbound sales tactics and partnerships with other law firms in order to help bring in new cases.  Once the client is onboarded, follow up with the client on a regular basis to ensure their satisfaction with their service.  Perform miscellaneous clerical tasks as needed, including transcription, research, spreadsheet management, and email writing to ensure operational efficiency.  Legal Intake Specialist Qualifications - Previous customer service or sales experience preferred - Possesses outstanding communication skills and sense of empathy - CRM and case management software experience a plus - Proficiency with Google Workplace and Zoom - Solid data entry, spreadsheet management, and computer skills - Previous legal experience is a plus|$9.00|Less than 30 hrs/week|More than 6 months|Intermediate|Customer Service,Email Communication,Administrative Support,Customer Support,Phone Communication,Communications,Data Entry,Virtual Assistant,Email Support,Phone Support|$441.00|5.0|United States Marlton|5.00|https://www.upwork.com/jobs/~016fec53b17db3c307
0|818|Family Law Legal Assistant|I am in need of an assistant that is available to work 9-5 hours Eastern Standard Time in US.  I am looking for someone I can have a zoom or virtual meeting with to give direction and then have them complete the tasks requested.  Tasks will include communicating with clients, looking up online information, drafting and formatting documents in Word and Excel.  Must be detail oriented, and willing to ask questions whenever uncertain as to what is needed.   |$8.00|More than 30 hrs/week|More than 6 months|Intermediate|Draft Documentation,Legal Research,Family Law,Legal Writing|$5,361.33|4.0|United States Towson|4.00|https://www.upwork.com/jobs/~01bbd97751f1bca970
0|818|Virtual Assistant To Join Successful Law Firm|We're looking to hire a virtual assistant admin from the Philippines with strong English fluency to join our law firm.  Must have past experience as a virtual assistant!  For ONGOING work up to 40 hours/week.   OBJECTIVE - Answer emails - Ability to work fast - Ability to stay available on Slack to receive directions - Great organizational and research skills - Organize documents and prepare easy spreadsheets   HOW TO APPLY: If you have past experience as a virtual assistant and you know you're fit for the job, please send a proposal with your most competitive hourly rate and SHORT summary of what makes you GREAT at being a virtual assistant.  Also, answer the following question: 2 + 2 = ?|$6.00|More than 30 hrs/week|More than 6 months||Virtual Assistant,Email Communication,Administrative Support,Data Entry,Draft Correspondence,Customer Service,Microsoft Excel,Form Completion,Task Coordination|$5,236.00|4.0|United States Tulsa|4.00|https://www.upwork.com/jobs/~01317c245f83ea479b
0|818|Admin/Virtual Assistant With Strong English Fluency for Law Firm|For ONGOING work no less than 20 hours per week.  OBJECTIVE: -- Answer emails -- Ability to follow directions -- Ability to exercise good judgment and common sense -- Organized -- Ability to be available on Monday.com in order to receive directions  HOW TO APPLY: If you have past experience as a virtual assistant and know you're a great fit for this job, please send a proposal with your most competitive hourly rate and a SHORT summary of what makes you a great virtual assistant.|$10.50||More than 6 months|Intermediate|/General Virtual Assistance Skills,File Management,Task Coordination/Virtual Assistance Focus,Legal/Other,Virtual Assistant,Customer Service,Microsoft Office,Phone Communication,Email Communication,Draft Correspondence,Data Entry,Family Law,Scheduling|$6,954.50|4.85|United States Bartlett|4.85|https://www.upwork.com/jobs/~019e879c81a16d5567
0|1232|Extraordinary Legal Virtual Assistant|Looking for an extraordinary virtual legal assistant to help with tasks associated with assistance of law firm owner and potential new clients.  My law firm handles bankruptcy, family, probate, and estate planning.  I am looking for someone with strong writing and proofreading skills.  A happy personality with strong customer service skills.  Must love working with people and have a strong command of the English language.  Must be organized and available during law firm's hours.    Specific Task Needed:  Calendar/Schedule Management for owner, Email Management (Routing, Reply on Behalf-Of, etc.), Follow up with initial leads, schedule appointments, send retainer agreements, update client management system, online file management.  Skills Needed:  Ability to professionally Interact with clients, update Client Management System, highly organized, and ability to learn quickly.   Positive attitude and dependable.|$7.80||More than 6 months|Intermediate|/Legal Virtual Assistance Skills,Invoicing,Microsoft Office/Other,Virtual Assistant,Legal,Data Entry,Email Communication,Communications,Customer Service,Administrative Support,Writing|$61.10||United States Rock Hill|2.00|https://www.upwork.com/jobs/~01b2e25a5c6f828159
0|1065|Market research for my project|I need a market research for my new business - self development consulting.  Shortly about my business aim: Empowering professionals and entrepreneurs to reach their full potential through personalized career development and entrepreneurial mentorship. Helping individuals create fulfilling and high-paying careers and turn their passion into a successful business. Dedicated to mentoring young professionals and empowering them to achieve their career goals.  I need someone who is not only does a google search, but passionately digs deeper in the topic and give me good results  Please feel free to contact me|$18.00|Less than 30 hrs/week|1 to 3 months|Intermediate|/Market Research Types,Competitive Analysis/Other,Market Analysis,Market Research,Marketing Strategy,Researcher|$18.00|5.0|Germany Oberkrämer|5.00|https://www.upwork.com/jobs/~017451ec8d6b373b71
0|1065|Shopify beauty store|Product research order fulfillment product agent relations|$15.00|Less than 30 hrs/week|Less than a month|Intermediate|Market Research,Online Research,Topic Research,Product Research,Company Research,Dropshipping,Search Engine Optimization,Shopify SEO,Virtual Assistant,Shopify,Dropshipping Product Researcher|$500.00|5.0|Germany Giessen|5.00|https://www.upwork.com/jobs/~019919ed4578cd26c6
0|1065|Competitor analysis|I am looking for help with analysis of competitors in the market for a product/service that I intend to roll out. The task will involve reviewing 4-5 top competitors, their products and their services.||||Entry level|Market Research,Competitive Analysis,Market Analysis,Marketing Strategy|$195.00|5.0|United Kingdom London|5.00|https://www.upwork.com/jobs/~01a1831525f7d1fafa
0|1065|Product researcher|Hey, im looking for a product researcher for my shopify store if ur interested we can set up a call and talk more.|$18.00|Less than 30 hrs/week|Less than a month|Intermediate|Market Research,Online Research,Topic Research,Product Research,Company Research,Dropshipping,Search Engine Optimization,Shopify SEO,Virtual Assistant,Shopify|$207.00|4.65|Malaysia Kota Kinabalu|4.65|https://www.upwork.com/jobs/~01098fe46b773223d2
0|1065|Amazon Product Research & More|Help research and suggest one product idea to sell on Amazon for a new seller.    If you are able to help with product sourcing, PPC campaigns, and more,  I would like to work with you for more than just the initial research. I would like to work on a long-term basis to help manage the store but doing a project to research a winning product is the first step.||Less than 30 hrs/week|Less than a month||/Market Research Types,Competitive Analysis/Other,Amazon Webstore,Amazon Research,Ecommerce|$25.00||United States El Paso|5.00|https://www.upwork.com/jobs/~014db95579d7fc793f
0|1065|Research My Competitors|I need for you to identify who the major players are in myniche, what they’re promising as the transformation, how they’re delivering that transformation, and what they’re charging to deliver it.  My Niche is personality testing.  I will also benefit from knowing what they’re investing their marketing dollars into to generate new business/revenue streams for their companies.  Some questions you can ask:  Who are the competitors in my niche? Myers-Briggs Type Indicator. ... DISC personality test. Caliper Profile. ... 16 Personality Factor Questionnaire. ... Eysenck Personality Inventory. ...  What transformation do they provide? What mechanisms are they using to deliver the transformation? What are the guarantees they provide for the transformation? What is their pricing? How are they obtaining leads? What marketing channels are they leveraging? Resources to use during research:  Google Facebook Ad Library SimilarWeb Sales/Demo/Estimate (be their customer) Their website/social media/etc. Yelp/GMB/BBB/review sites  Funnel hack these competitors.  Also, investigate review sites and see what their customers say about them. Focus on the good, bad and ugly.  What are they getting right? What are they getting wrong? How could they improve?|$17.50|Less than 30 hrs/week|Less than a month|Intermediate|Company Research,Market Research|$102.08|5.0|United States Jackson|5.00|https://www.upwork.com/jobs/~01ad2358870d80eaa2
0|1065|Winning product researcher|I am a small business owner in Ireland and I want to venture to dropshipping. I need a reliable partner in doing product research and eventually help me set up my website. I am a working mom so my time is limited and I need someone reliable and trustworthy to work with.|$12.50||1 to 3 months||Researcher,Brand Research,Market Analysis,Data Analysis|$375.00|5.0|Ireland Limerick|5.00|https://www.upwork.com/jobs/~01c47dddc827c8d34a
0|87|Need a monthly thought-leadership blog post on training in Energy/Oil/Gas|Need a monthly training in manufacturing thought-leadership blog post for our blog.  Come up with topics, do the research and write original content.  Topic is training/learning and development/instructional design for the Energy/Oil/Gas industry.  Looking for high-level writers knowledgeable about the Energy/Oil/Gas industry and training.  Please send a sample of your written work/experience in Energy/Oil/Gas and training.|||||/Content Writing Services,Researcher,Content Writing/Other,Blog Writing,Article Writing,SEO Writing,Creative Writing|$200.00||United States Woodland|4.00|https://www.upwork.com/jobs/~0104bc117d9a28f01e
0|87|Subject Matter Expert: Green Energy Careers|We are looking for Subject matter expert for Green Energy Career:  We will have 2-sem course  that will focus on careers in the green energy industry and provide an introduction to electricity fundamentals (a physics topic—electricity and magnetism, current (AC/DC, Ohm’s law, etc).  Key responsibilities expected from SME are as follows: Review the content/storyboard written by writers for factual accuracy and flow Design the outline required for storyboard creation Answer queries raised by the writers during storyboard creation Help us point out topics in Green energy which can be created as animations Help us point out topics in Green energy  which can be created as simulations Point out useful reference materials for Green energy career Help us in visualizing the Green energy concepts  Please revert on this post with updated resume and sample work.||||Intermediate|/Content Writing Services,Researcher/Other,English,Academic Writing,Creative Writing,Educational content|$7,200.00|4.0|India Navi Mumbai|4.00|https://www.upwork.com/jobs/~013b5168426cc9c541
0|87|Electric & Gas Utility Energy Efficiency Program Market Share Research|Overview: Looking for a skilled researcher with experience looking at electric and gas utility filings with their state’s Public Utility Commission which includes energy efficiency plans, evaluation reports, annual reports, and drawing out key pieces of data from them. Will hire two researchers for a short version of the research (about 5 utilities) and will then hire the one who has the best work for the remaining research.  Objective: - Find out key pieces of information about specific electric or gas utilities Home Energy Report   program: - Vendor providing the Home Energy Report program - Number of households in the Home Energy Report program (by state, if possible) - Number of residential customers the utility serves (by state, if possible) - Source and year of data  Instructions: - Search google for the utility’s:     -energy efficiency plans     -evaluation reports     -integrated resource plans     -annual reports     -press releases     -articles     -other mediums     -you can also go the the states public utility commission webpage to search for filings by the utility. Each state is different in how they present their dockets and filings so a bit of trial and error navigating is needed.  - In one or more of mediums above, find the electric or gas utility’s vendor providing a Home Energy Report program for the utility  - Find the number of households that are in their program     -By state if possible  - Find the overall number of residential customers the utility serves     -By state if possible  - For utilities operating in multiple states, add a row in excel beneath that utility and separate the data out by state.  - Track the source of the data by copying the url  - Capture the year of the data     -Use the most recent data available. Data from 2015 and earlier is too old.  - If no Home Energy Report program is found, list “None” and cite the source where you arrived at this conclusion. (Normally where the utilities other energy efficiency programs are listed in their energy efficiency plans or annual reports, etc.)  - Also of note; a utility’s efficiency programs page on their website most times does not list their Home Energy Report program and thus is not an adequate source of information.  Other Resources: American Council for an Energy-Efficiency Economy - Database: Navigate to the relevant state and then to the “Utilities” tab where sometimes a utility’s Demand Side Management Plan’s docket number is listed for easier google searching. (https://database.aceee.org/)  2016 Ranking of Companies By Total Sales Customers Source: AGA Statistics Database: Use for a baseline number of customers as it doesn’t include a breakdown by state nor by customer class (residential).(https://www.aga.org/globalassets/1002totcust.pdf)  TOP 100 LARGEST MUNICIPAL GAS SYSTEMS BY CUSTOMER/METER COUNT: a bit old so use only if no new data is available.(https://higherlogicdownload.s3.amazonaws.com/APGA/1151c1f6-49e1-4598-badd-127e33da42cd/UploadedImages/About/Top100Customer.pdf)  Timeline: Select two researchers: Thursday, March 1st Selected two researchers complete shortened research by: Midnight (Mtn Time) Sunday, March 4th Final Researcher Selected: Monday morning, March 5th Final Research Complete by: Midnight (Mtn Time), Friday March 9th.  Ongoing Opportunity: If the work completed is good I have additional research that can be completed more on an ongoing basis.|$18.00|Less than 30 hrs/week|Less than a month|Intermediate|Researcher,Business Analysis,Market Research|$68.00|4.0|United States Boulder|4.00|https://www.upwork.com/jobs/~0134aa7a654b23e032
0|734|Data Entry - Spanish Market (B2B)|Link al Job Post: (link removed)  Necesitamos generar una base de datos con información sobre Gestorías y Asesorías en España. Contamos con varias fuentes donde hay información pública, el objetivo es extraer toda la información de esas fuentes y volcarlo en una sola base de datos, consolidando datos que puedan estar repetidos en diferentes fuentes etc.  Disponemos de un Spreadsheet donde vienen las fuentes seleccionadas y los parámetros que se necesitan ordenados por prioridad (1,2,3 siendo 1 la mayor prioridad y 3 la menor).  Queremos dividir el proyecto en diferentes hitos que se irán completando y pagando por separado:  Hito 1 Verificar fuentes y definir alcance Qué información se puede obtener de cada fuente y el esfuerzo que supondría (presupuesto). Selección de fuentes y muestra de data entry. Una vez seleccionadas las fuentes, sacar una pequeña muestra para ver cómo se mostrarían los resultados y confirmar que se están sacando correctamente.  Antes de empezar con la extracción total de los datos, nos gustaría conocer una primera valoración sobre las fuentes: Cuántos leads válidos se podrían sacar de cada una. Qué información se podría sacar y cuál no Tiempo necesario para cada fuente (y su presupuesto) para valorar si avanzamos o no.  Hito 2 Data Entry Completo Extraer todos los datos de cada una de las fuentes.  Consolidación en una sola BDD Unificar todos los datos extraídos en una base de datos (spreadsheet) donde poder encontrar duplicados así como consolidar información complementaria.|||Less than a month|Intermediate|Data Entry,Lead Generation,Researcher,Microsoft Excel,Spanish,Database||4.3|Spain Madrid|4.30|https://www.upwork.com/jobs/~01d4a5e0f6231ef6c0
0|1386|Account receivable review required|Hello, We are looking for an Account receivable expert must have sound knowledge of ECW and Kareo. We have bundle of outstanding claims for onetime check. Please apply if you are interested.||||Entry level|Customer Service,Virtual Assistant,Accounts Receivable,Data Entry,Microsoft Excel,Balance Sheet,Administrative Support,Customer Support,Account Reconciliation,Accounts Payable|$5.00|5.0|Canada Toronto|5.00|https://www.upwork.com/jobs/~01883917baeb7fa50e
0|292|VA needed for a marketing campaign and appointment setting|I run a small IT shop and need some help executing a marketing campaign.  Hopefully this is where you can help.  Duties would include: - List Scrubbing: We have approx 3K prospects on our list.  We need to verify and mail about 25 each week. - Label prep for mailers - Follow-up calls/appointment setting - calls to follow up and setup appointments - Update CRM  We'll start with a trial period (1-2 weeks) and see how it goes.  If everything goes well, this will be an ongoing campaign.|$15.00|Less than 30 hrs/week|1 to 3 months|Intermediate|Microsoft Word,Microsoft Excel,Customer Relationship Management,Data Entry,Data Extraction,Phone Support,Communication Skills,Virtual Assistant|$1,755.00|5.0|United States Miami|5.00|https://www.upwork.com/jobs/~01b6a7b77675d05f0a
0|292|Convert to Word and Verify Accuracy and Format|I am seeking someone to convert the attached file which are Finance Policies and Procedures from pdf to word and then verify accuracy of the information to ensure the conversion was correct, reformat as needed and  finalize.||||Intermediate|/General Virtual Assistance Skills,Microsoft Office,Word Processing,File Management/Other,Microsoft Word,PDF Conversion,Error Detection,Accuracy Verification,Clerical Procedures|$150.00||United States Atlanta|5.00|https://www.upwork.com/jobs/~0132940922011afb6f
0|292|Data entry from handwritten scanned PDF to fillable PDF|We have regular client work requiring us to convert handwritten text into fillable PDF form.|$17.50|Less than 30 hrs/week|Less than a month|Intermediate|Data Entry,Administrative Support,PDF,PDF Conversion|$551.25|5.0|United States Davidsonville|5.00|https://www.upwork.com/jobs/~015278e14b87e87b79
0|292|Organize an excel sheet|I have a sheet of expenses for a new home project, I'm looking for someone that is available now to organize it.. it shouldn't take long at all, and I need it today please. Thank you!|$14.00|Less than 30 hrs/week|Less than a month|Entry level|Microsoft Excel,Spreadsheet Software,Google Docs|$14.00||United States Monsey|5.00|https://www.upwork.com/jobs/~01d6ae64268c32a3b1
0|292|Admin Excel Organizing Projects|We are looking for help anonymizing candidates for for two open positions so our hiring teams and determine who to interview based on skills and experience.  We additionally, have two other small excel clean up and organizing projects. HR Project - Anonymize cover letters and resumes (PDF's) and create spreadsheet that tracks documents once anonymized.  Excel Projects - Clean-Up and organize Media List - Create a user friendly Speech and Engagement Log for the COMM's Department to push out to Staff to capture all community engagement metrics.|$24.00|Less than 30 hrs/week|Less than a month|Entry level|Microsoft Excel,Administrative Support,Virtual Assistance,Accuracy Verification,Clerical Procedures|$112.00|4.85|United States Phoenix|4.85|https://www.upwork.com/jobs/~01e9ece10f3a4105f7
