freelancer_id|location|success_rate|badge|t_earnings|t_jobs|t_hours|hours_per_week|languages|profile_title|hourly_rate|skills|profile_link
1353|Cebu City, Philippines|100%|TOP RATED|$300K+|33|27,363|Less than 30 hrs/week|English: Fluent,Cebuano: Native or Bilingual,Tagalog: Native or Bilingual|Customer Service Representative|$13.00/hr|/Customer & Tech Support Services,Inbound Inquiry,End User Technical Support,Order Tracking,Payment Processing,Online Chat Support,Phone Support,Product Knowledge,Order Processing,Email Support,Ecommerce Support,Problem Resolution,Product Support,Complaint Management,Desktop & Laptop Support,Technical Support,Customer Service Training/IT Services,Helpdesk/Other Skills|https://www.upwork.com/freelancers/~0144d91a7ffac5bb58?s=1453032787792269312
1697|Mandaluyong City, Philippines|100%|TOP RATED PLUS|$100K+|6|4,954|More than 30 hrs/week|English: Fluent,Tagalog: Native or Bilingual|Premium Technical Support and Customer care Specialist.|$9.00/hr|/Customer & Tech Support Services,Desktop & Laptop Support,Online Chat Support,End User Technical Support,Product Knowledge,Phone Support,Technical Support,Email Support,Problem Resolution,Product Installation Support,Product Support/IT Services,Remote Connection Support,System Administration,Helpdesk/Other Skills|https://www.upwork.com/freelancers/~0122dc069f189326d8?s=1453032787792269312
411|Mabalacat City, Philippines|100%|TOP RATED||66|2,444|More than 30 hrs/week|English: Conversational,Korean: Conversational,Japanese: Basic|Shopify Expert, Social Media Management, Customer Service|$7.00/hr|/Customer & Tech Support Services,Online Chat Support,Email Support/Other Skills,Shopify,Social Media Management,Korean,Microsoft Windows,Zendesk,English,Business with 1-9 Employees,Business with 10-99 Employees,eCommerce,Consumer Goods|https://www.upwork.com/freelancers/~01ac856c03354ca304?s=1453032787792269312
1645|New Delhi, India|96%|TOP RATED PLUS||143|8,748|As Needed - Open to Offers|English: Native or Bilingual|Google Workspace, G Suite, Google Apps|$30.00/hr|/Tech Support Services,Email Support,Online Chat Support,Procedure Development/Business Size,Business with 100-999 Employees,Business with 1-9 Employees,Business with 1000+ Employees,Business with 10-99 Employees/Ticketing System Software,Jira,Salesforce Service Cloud,HubSpot/Industry,Food & Beverage,Education,Finance & Accounting,Fashion & Beauty,Tech & IT/Business Type,Startup Company,Fortune 500 Company,C-Corporation/Languages,English/Desktop Operating Systems,Microsoft Windows,macOS/Other Skills,Google Suite,Email Automation,Email Design,Domain Migration,Cloud Computing,Microsoft Excel,Google Sheets,Google Docs,Template Design,Server,Network Administration,Google Workspace Administration,Microsoft Outlook,Sports & Recreation,Consumer Goods|https://www.upwork.com/fl/~0192fe4974ea3b56bb?s=1110580766470295552
5|Dhaka, Bangladesh|100%|TOP RATED||98|6,528|Less than 30 hrs/week|English: Fluent|Zendesk and other CRM System Administrator, Developer and Consultant|$45.00/hr|/Tech Support Services,Bug Reports,Incident Management,Troubleshooting/Ticketing System Software,Zendesk,Jira,Freshdesk,HubSpot/Business Size,Business with 1000+ Employees,Business with 10-99 Employees/Languages,English/Business Type,Fortune 500 Company,Startup Company/Other Skills,Marketing Data Analytics,Help Desk Technology International ServicePRO,Zendesk API,System Configuration,Product Knowledge,Microsoft Active Directory,Trend Analysis|https://www.upwork.com/freelancers/~011b28a338e5c4dbf8?s=1110580766470295552
1243|Multan, Pakistan|100%|TOP RATED|$90K+|24|74|As Needed - Open to Offers|English: Fluent,Urdu: Native or Bilingual|"A/B Test Developer | Google Optimize, VWO, Convert | CRO Expert"|$45.00/hr|/A/B Testing Tools,Crazy Egg,Hotjar,A/Bingo,Optimizely,Google Tag Manager,Google Optimize,AB Tasty,Google Analytics/A/B Testing Skills,Funnel Testing,Conversion Rate Optimization,A/B Testing,Hypothesis Testing/Other Skills|https://www.upwork.com/fl/~01eb6775e905201ba4?s=1110580746216001536
1011|Varazdin, Croatia|100%|TOP RATED||154|1,637|Less than 30 hrs/week|English: Fluent,Croatian: Native or Bilingual,German: Basic|Conversion Rate Optimization Specialist with 8+ years of experience|$55.00/hr|/A/B Testing Tools,Google Optimize,Leadpages,Unbounce,Adobe Target,Instapage,Google Tag Manager,Google Analytics,Optimizely,Hotjar,AB Tasty,Crazy Egg,Mixpanel/A/B Testing Skills,Funnel Testing,Hypothesis Testing,Conversion Rate Optimization,A/B Testing/Other Skills|https://www.upwork.com/freelancers/~01d7f765f8f927154b?s=1110580746216001536
848|Boston, United States|100%|TOP RATED PLUS|$300K+|180|3,899|More than 30 hrs/week|English: Native or Bilingual|Brilliant Google Sheets Automation - Win More Time To Do What Matters|$100.00/hr|/Data Analytics Tools,Microsoft Excel,Google Sheets/Data Analytics Expertise,Operations Analytics,Product Analytics,Growth Analytics,Customer Service Analytics/Data Analytics Deliverables,Dashboard,Data Analysis/Data Analytics Skills,Data Visualization/Other Skills,Google Apps Script|https://www.upwork.com/freelancers/~01b4608671365b5863?s=1110580752008335360
682|Dublin, Ireland|100%|TOP RATED||17|22|More than 30 hrs/week|English: Native or Bilingual|Google Tag Manager Expert|$60.00/hr|/Data Analytics Tools,Google Analytics/Data Analytics Expertise,Marketing Analytics/Other Skills,Google Ads|https://www.upwork.com/fl/~0187a6891a069ff500?s=1110580752008335360
379|Athens, Greece|97%|TOP RATED||222|1,479|As Needed - Open to Offers|English: Fluent,Greek, Modern: Native or Bilingual|"Ph.D. Psychology | Social Research | SPSS Master"|$45.00/hr|/Data Analytics Deliverables,Presentations,Report,Data Analysis,Dashboard/Data Analytics Skills,Data Interpretation,Data Visualization,Data Analytics,Hypothesis Testing,Statistics,Statistical Analysis/Data Analytics Expertise,Marketing Analytics,Human Resources Analytics,Growth Analytics,Customer Service Analytics,Sales Analytics/Other Skills,IBM SPSS,Report Writing,Academic Writing,APA Formatting,Academic Research,Qualitative Research,Research Papers,Scientific Writing,Psychology,Quantitative Research,Scientific Literature Review,Survey Design,Research Paper Writing,Survey Data Analysis,Quantitative Analysis,Academic Editing,Research Methods,Dissertation Writing,Consumer Research|https://www.upwork.com/freelancers/~0162e2a27f62a4734c?s=1110580752008335360
976|Farmers Branch, United States|100%|TOP RATED PLUS||6|1,938|More than 30 hrs/week|English: Native or Bilingual,Urdu: Fluent|Data Engineer specializing in Snowflake and Modern Data Stack|$150.00/hr|/Data Engineering Languages,SQL,Python/Data Engineering Deliverables,ETL Pipeline,Database Design,Database Architecture,Data Science Consultation,Data Migration,Data Engineering,Query Tuning,Data Integration/Data Engineering Tools,Teradata/Other Skills,AWS Lambda,Amazon DynamoDB,Snowflake,Cloud Architecture,IaaS,Cloud Computing,Cloud Services,Amazon Web Services,System Deployment,Product Development,PaaS|https://www.upwork.com/fl/~0183d73ac95aac57e3?s=1110580752188690432
927|Karur, India|100%|TOP RATED PLUS||92|2,028|Less than 30 hrs/week|English: Native or Bilingual|BigQuery Consultant|$50.00/hr|/Data Engineering Deliverables,ETL Pipeline,Data Integration,Database Design,Data Migration,Query Tuning,Database Architecture,Data Engineering/Data Engineering Languages,Python,SQL/Other Skills,Google Data Studio,BigQuery,Google Analytics,Google Cloud Platform,Google Analytics API,RESTful API,Data Transformation,Tableau,Data Analytics|https://www.upwork.com/fl/~0163c3a5ee8620f840?s=1110580752188690432
163|East Jakarta, Indonesia|100%|TOP RATED|$10K+|58|996|As Needed - Open to Offers|English: Fluent,Indonesian: Native or Bilingual|R and Tableau Developer|$20.00/hr|/Data Extraction Tools,Beautiful Soup,Web Scraping Framework,Scrapy,Selenium,html2text,Web Scraping Plugin,pandas,Python-Goose,Python-Requests/Data Extraction Programming Languages,R,Python/Data Extraction Deliverables,Data Extraction,Screen Scraping,Data Scraping,Web Scraping,Data Integration,API Integration/Other Skills,ggplot2,Information Analysis,Tableau,Stakeholder Management,Insurance & Risk Management,Agile Software Development,Process Improvement,Project Management,Communications|https://www.upwork.com/fl/~0116b107d49a0dd441?s=1110580752293548032
791|Hyderabad, India|Data Extraction|||11|50|More than 30 hrs/week|English: Fluent|Data scientist|$15.00/hr||https://www.upwork.com/freelancers/~01bb46ff339129e32e?s=1110580752293548032
1637|Ahmedabad, India|100%|TOP RATED||193|173|More than 30 hrs/week|English: Fluent,Hindi: Fluent|Web Scraping Samurai / Scripting & Automation Expert / Web Developer|$35.00/hr|/Data Extraction Tools,Selenium,html2text,Python-Requests,Beautiful Soup,Spinn3r,Web Scraping Plugin,Python-Goose,Informatica,Scrapy,pandas,Camelot,Web Scraping Framework,Import.io/Data Extraction Deliverables,Web Scraping,Screen Scraping,Data Scraping,Data Integration,ETL,API Integration,ETL Pipeline,Data Extraction/Data Extraction Programming Languages,Python,PHP,C#,SQL,SAS/Other Skills,Data Mining,Scripting,Web Application,Lead Generation,Google Sheets,Scripts & Utilities,Automation,Node.js,Bot Development,Google Sheets Automation|https://www.upwork.com/freelancers/~0127fd7a2c45c3a439?s=1110580752293548032
1195|Surat, India|100%|TOP RATED PLUS|$200K+|532|566|More than 30 hrs/week|English: Native or Bilingual,Gujarati: Native or Bilingual,Hindi: Native or Bilingual|"Web Scraping | B2B Data | Data Mining | Python | Selenium | Automation"|$30.00/hr|/Data Mining Tools,pandas,Microsoft Power BI,NumPy,Microsoft Excel/Data Mining Languages,Python,R,SQL/Data Mining Skills,Online Research,Data Scraping/Other Skills,Web Crawling|https://www.upwork.com/fl/~013f72025c0b62669a?s=1017484851352698997
702|Bahawalpur, Pakistan|94%|TOP RATED||65|808|As Needed - Open to Offers|English: Fluent,Panjabi, Punjabi: Native or Bilingual,Urdu: Native or Bilingual|Python Data Engineer|$15.00/hr|/Data Mining Skills,Data Entry,Online Research,Data Mining,Data Scraping/Data Mining Tools,pandas,NumPy/Data Mining Languages,SQL,Python/Other Skills,Scrapy|https://www.upwork.com/freelancers/~0121eaaec0ae9134de?s=1017484851352698997
427|Rangpur, Bangladesh|94%|TOP RATED PLUS||297|1,361|More than 30 hrs/week|English: Fluent|Excel Expert|$50.00/hr|/Data Processing Tools,Google Sheets,Microsoft Excel/Data Processing Languages,Python,SQL/Data Processing Skills,Data Processing,Data Entry/Other Skills|https://www.upwork.com/fl/~01e6e9b45aaa44bdc6?s=1110580752452931584
1505|Manila, Philippines|99%|TOP RATED||238|3,154|More than 30 hrs/week|English: Fluent,Tagalog: Native or Bilingual|Excel Specialist|$10.00/hr|/Data Processing Skills,Data Entry,Data Segmentation,Data Annotation,Data Labeling/Data Processing Tools,Microsoft Excel/Data Processing Languages,Excel VBA/Other Skills,Transaction Data Entry,Data Visualization|https://www.upwork.com/freelancers/~01b8483856c427258d?s=1110580752452931584
563|Lahore, Pakistan|100%|||19|69|As Needed - Open to Offers|English: Native or Bilingual,Urdu: Native or Bilingual,Croatian: Basic,Serbian: Basic,Spanish: Basic|"Data Entry | Data Processing | Data Engineering Expert"|$15.00/hr|/Data Processing Languages,SQL,R,Python/Data Processing Skills,Data Processing,Data Labeling,Data Annotation,Data Entry/Other Skills,MongoDB|https://www.upwork.com/freelancers/~01edae956e45eb44ce?s=1110580752452931584
573|Islamabad, Pakistan|99%|TOP RATED||87|913|As Needed - Open to Offers|English: Fluent,Urdu: Native or Bilingual|"Data Engineer | Data Visulaziation | Data Analysis | Tableau Developer"|$25.00/hr|/Data Visualization Deliverables,Presentations,Data Visualization,Digital Mapping,Dashboard/Data Visualization Languages,Data Analysis Expressions,SQL/Other Skills|https://www.upwork.com/freelancers/~01c673db31b1812e88?s=1031626803117539328
9|Zagreb, Croatia|100%|TOP RATED PLUS||36|1,102|More than 30 hrs/week|English: Native or Bilingual,Italian: Conversational|Data Visualization Expert|$75.00/hr|/Data Visualization Deliverables,Presentations,API Integration,Dashboard,Digital Mapping/Data Visualization Tools,D3.js,Plotly,ggplot2,AnyChart,Chartio/Data Visualization Languages,JavaScript/Other Skills|https://www.upwork.com/fl/~011b332b7867280b79?s=1031626803117539328
1827|Lahore, Pakistan|97%|TOP RATED PLUS|$100K+|58|2,084|More than 30 hrs/week|English: Native or Bilingual,Urdu: Native or Bilingual|"Data Science | Machine Learning | Deep Learning | NLP | CV"|$40.00/hr|/Deep Learning Tools,Keras,PyTorch,OpenCV,TensorFlow,Amazon SageMaker,Open Neural Network Exchange/Deep Learning Skills,Natural Language Generation,Natural Language Processing,Computer Vision,Unsupervised Learning,Neural Network,Reinforcement Learning,Supervised Learning/Deep Learning Deliverables,Model Optimization,Data Science Consultation,Deep Learning Modeling,Deep Learning,Chatbot,Model Tuning,Software Maintenance,Recommendation System/Deep Learning Languages,Python/Other Skills|https://www.upwork.com/freelancers/~01ca89621141fa804e?s=1031626803146899456
1219|Guwahati assam, India|85%|||21|89|More than 30 hrs/week|English: Fluent,Assamese: Native or Bilingual,Hindi: Fluent|"Deep Learning | Computer Vision | NLP | ChatGPT | DALL-E"|$30.00/hr|/Deep Learning Tools,TensorFlow,Google AutoML,MLflow,Amazon SageMaker,PyTorch,OpenCV,Keras/Deep Learning Skills,Neural Network,Unsupervised Learning,Natural Language Processing,Computer Vision,Natural Language Generation,Artificial Intelligence Ethics,Supervised Learning,Reinforcement Learning/Deep Learning Deliverables,Deep Learning,Model Tuning,Data Science Consultation,Recommendation System,Chatbot,Deep Learning Modeling,Model Optimization/Deep Learning Languages,Python/Other Skills,PostgreSQL,BigQuery,Data Analysis,MySQL,Dashboard,Internet of Things Solutions Design,Functional Programming,Apache Spark MLlib,Machine Learning Model,Digital Signal Processing,Statistical Computing,Convolutional Neural Network,Deep Neural Network|https://www.upwork.com/freelancers/~017a9cd984ab4dca70?s=1031626803146899456
113|Madinat Sittah Uktubar, Egypt|91%|TOP RATED||19|145|Less than 30 hrs/week|English: Fluent,Arabic: Native or Bilingual|Deep Learning Engineer|$45.00/hr|/Deep Learning Skills,Computer Vision,Supervised Learning,Natural Language Generation,Natural Language Processing,Reinforcement Learning,Neural Network,Artificial Intelligence Ethics,Unsupervised Learning/Deep Learning Deliverables,Chatbot,Deep Learning Modeling,Model Tuning,Model Optimization,Data Science Consultation,Software Maintenance,Recommendation System/Deep Learning Tools,BigDL,Azure Machine Learning,Google AutoML,TensorFlow,OpenCV,Keras,MATLAB,PyTorch/Deep Learning Languages,C++,Python/Other Skills|https://www.upwork.com/fl/~01cd4747081aa795d0?s=1031626803146899456
661|Pune, India|100%|TOP RATED|$100K+|28|4,276|As Needed - Open to Offers|English: Native or Bilingual,Hindi: Fluent|Manual qa tester|$35.00/hr|/Other Skills,Regression Testing,Test Plan,User Acceptance Testing,Bug Reports,Web Testing,Usability Testing,Manual Testing,Mobile App Testing,Software QA,Black Box Testing,Defect Tracking,Desktop Application Testing,End-to-End Testing,Test Case Design,QA Engineering,Task Creation,WordPress,Compatibility Testing,BigCommerce,Quality Control,Asana,Shopify|https://www.upwork.com/freelancers/~01c190ea5c5b7b1b99?s=1110580754524917760
177|Bogra, Bangladesh|100%|TOP RATED||70|16,806|More than 30 hrs/week|English: Fluent|"Core QA documentation writer & Executive Test manager |"|$25.00/hr|/Other Skills,Atlassian Confluence,Test Case Design,Test Execution,Jira,Business Analysis,Agile CRM,Test Management,Product Management,SaaS,Regression Test Script,Mobile App Testing|https://www.upwork.com/fl/~01e0c63a3b6447321a?s=1110580754524917760
1565|Morton, United States|100%|||65|3,681|More than 30 hrs/week|English: Native or Bilingual|Generative AI Project Director|$100.00/hr|/AI Services,Natural Language Processing,Prompt Engineering,AI Model Integration,Generative AI,Conversational AI/AI Tools,Gradio,Azure OpenAI,Hugging Face,Streamlit/AI Models,OpenAI Codex,Midjourney AI,Stable Diffusion,ChatGPT,GPT-3,DALL-E,GPT-Neo,Whisper,GPT-4/AI Development Language,Python/AI Applications,AI-Generated Art,AI-Generated Video,AI Text-to-Speech,AI Content Creation,AI Chatbot,AI Text-to-Image,AI-Enhanced Classification,Speech Synthesis,Sentiment Analysis,Natural Language Generation/AI Algorithms,Large Language Model/Other Skills,Machine Learning|https://www.upwork.com/freelancers/~010bcc07d9c35ed2db?s=1623717017731600384
1241|Santana de Parnaiba, Brazil|100%|TOP RATED PLUS||22|2,520|More than 30 hrs/week|English: Native or Bilingual,Portuguese: Native or Bilingual,Spanish: Fluent|ChatGPT-4/LLMs APIs & Machine Learning to Predict Customers' Behavior|$79.99/hr|/AI Development Language,Julia,Scala,Python/AI Applications,AI Text-to-Speech,Speech Synthesis,Time Series Forecasting,AI Text-to-Image,AI Content Creation,Anomaly Detection,Time Series Analysis,Facial Recognition,AI-Enhanced Classification,Image Analysis,Sequence Modeling,Sentiment Analysis,Automatic Speech Recognition,AI Chatbot,Natural Language Generation,AI-Enhanced Medical Imaging,Image Recognition/AI Services,AI Model Integration,AI Mobile App Development,Machine Translation,Object Detection,Generative AI,Prompt Engineering,Pre-Training,Conversational AI,Natural Language Processing,Batch Normalization,Model Tuning,Data Augmentation,Model Testing & Optimization/AI Algorithms,Large Language Model,Recurrent Neural Network,Regression Analysis,Convolutional Neural Network,Generative Adversarial Network,Transformer Model,Multilayer Perceptron,Autoencoder,Long Short-Term Memory Network,StyleGAN,AdaBoost/AI Tools,GitHub Copilot,TensorFlow,Word2vec,Azure OpenAI,Streamlit,PyTorch,Hugging Face/AI Models,BERT,OpenAI Codex,ChatGPT,GPT-4,LLaMA,Bard,GPT-3,BLOOM/Other Skills,Agile Software Development,Product Backlog,Product Development|https://www.upwork.com/fl/~01d36ae564f4733228?s=1623717017731600384
1|Bengaluru, India|100%|||10|88|More than 30 hrs/week|English: Fluent|"Django, Nextjs, OpenAI, LangChain, Pinecone | Full stack developer"|$30.00/hr|/AI Services,Conversational AI,Prompt Engineering,AI Model Integration,Generative AI/AI Tools,Word2vec,Hugging Face,Azure OpenAI/AI Models,ChatGPT,Midjourney AI,GPT-3,DALL-E/AI Applications,AI Chatbot,AI Text-to-Speech,AI Content Creation,AI Text-to-Image/AI Development Language,Python/Other Skills|https://www.upwork.com/fl/~0145547bee83ea3de3?s=1623717017731600384
792|Alexandria, United States|Knowledge Representation||$10K+|4|759|As Needed - Open to Offers|English: Native or Bilingual|"Taxonomist | Information Professional"|$60.00/hr|/Knowledge Representation Deliverables,Ontology,Taxonomy/Knowledge Representation Skills,Classification/Knowledge Representation Tools,TopBraid Composer/Other Skills,Metadata,Qualitative Research,Conduct Research,Secondary Research|https://www.upwork.com/freelancers/~01a1aa648f8f0b7a4f?s=1110580757939081216
486|Oldsmar, United States|Knowledge Representation|||14|17,290|More than 30 hrs/week|English: Fluent|Top Rated Plus Expert Researcher Developer on all Things Graph|$96.00/hr|/Knowledge Representation Tools,Ontotext GraphDB,Protege,Neo4j,PoolParty,TopBraid Composer/Knowledge Representation Deliverables,Knowledge Graph,Taxonomy,Ontology/Knowledge Representation Skills,Python,Apache Jena,FIBO,JSON-LD,OWL,RDF,SWRL,SPARQL,SNOMED-CT/Other Skills,Graph Database|https://www.upwork.com/freelancers/~01389acedeebf979c5?s=1110580757939081216
393|Ahmedabad, India|95%|TOP RATED PLUS||15|2,100|More than 30 hrs/week|English: Native or Bilingual|"ChatGPT Experience | OpenAI Expert | Azure NLP Developer"|$35.00/hr|/Machine Learning Languages,Java,C++,Python/Machine Learning Deliverables,Machine Learning Model,Data Science Consultation,Model Optimization,Chatbot/Machine Learning Tools,Azure Machine Learning,Tableau,ChatGPT,Accord.NET Framework,TensorFlow/Machine Learning Techniques,Generative Model,Linear Regression/Machine Learning Methods,Deep Learning,Natural Language Processing/Other Skills,Azure DevOps,Mobile App,App Development,Web Service,Web Application,Microsoft Sharepoint,HTML5,Server Administration,Microsoft Visual Studio,Azure Blockchain Service,ActionScript,CSS,Appcelerator Titanium,ASP.NET MVC,Entity Framework,Software Development,Query Development,Design Validation,LINQ,Object-Oriented Programming,User Experience Design,System Security,Troubleshooting,COMSOL Multiphysics,ASP.NET Web API,Architectural Design,Network Security,Cloud Computing,Virtualization,Implementation Plan,Network Engineering,Cloud Services,IaaS,PaaS,Cloud Architecture,Cloud Security Framework,Technical Project Management|https://www.upwork.com/freelancers/~01c20ce0de004d5e42?s=1110580759050571776
266|Madinat Sittah Uktubar, Egypt|98%|TOP RATED||66|297|As Needed - Open to Offers|English: Native or Bilingual,Arabic: Native or Bilingual,French: Basic|Machine Learning engineer|$45.00/hr|/Machine Learning Tools,Keras,PyTorch,MATLAB,OpenCV,TensorFlow,NLTK,SciPy,Apache Spark,pandas,NumPy,Amazon SageMaker,BERT,Python Scikit-Learn,Scrapy/Machine Learning Languages,Java,C++,Python,R/Machine Learning Techniques,Random Forest,Autoencoder,Word Embedding,Classification,Generative Model,Logistic Regression,Support Vector Machine,Linear Regression,Anomaly Detection,Decision Tree,Principal Component Analysis,Cluster Computing,Bayesian Statistics/Machine Learning Methods,Supervised Learning,Deep Learning,Unsupervised Learning,Neural Network,Feature Extraction,Computer Vision,Natural Language Generation,Natural Language Processing,Semi-Supervised Learning/Machine Learning Deliverables,Model Optimization,Chatbot,Data Science Consultation,Recommendation System,Model Tuning,Machine Learning Model/Other Skills,GitLab,Julia,LaTeX,GitHub,Markdown,Firebase,Jupyter,AWS Application,Beautiful Soup,Selenium|https://www.upwork.com/freelancers/~019b3ef766070702fc?s=1110580759050571776
146|Nagpur, India|100%|TOP RATED||7|136|More than 30 hrs/week|English: Native or Bilingual|Data Science Machine Learning and Python geek|$40.00/hr|/Machine Learning Methods,Deep Learning,Computer Vision,Natural Language Generation/Machine Learning Deliverables,Data Science Consultation,Data Science,Machine Learning Model,Model Optimization,Machine Learning/Machine Learning Languages,R,Python/Machine Learning Techniques,Decision Tree,Classification/Machine Learning Tools,pandas/Other Skills|https://www.upwork.com/freelancers/~01b30e17e7113267f9?s=1110580759050571776
614|Ivano-Frankivsk, Ukraine|98%|TOP RATED PLUS||268|1,788|As Needed - Open to Offers|English: Fluent|Producer of Animated Explainer Videos and Motion Graphics Designer|$70.00/hr|/2D Animation Types,Animated GIF,Animated Explainer,Stop-Motion Animation,2D Animation,Whiteboard Animation,Motion Graphics,Animated Cartoon/2D Animation Applications,Animated GIF,Logo Design,Icon Design,Social Media Website,Animation for Kids,Advertisement/Animation Style,Footage-Based Video/2D Animation Software,Adobe After Effects/Other Skills,Video Commercial,Video Animation,Video Advertising,2D Design,Explainer Video,Storyboard,2D Logo Reveal,Storyboarding,Video Production|https://www.upwork.com/freelancers/~011fb1a1043411209a?s=1017484851352698941
353|Karachi, Pakistan|100%|TOP RATED||39|17|As Needed - Open to Offers|English: Fluent,Hindi: Native or Bilingual,Urdu: Native or Bilingual|10X- 100X Visual Storytelling Animated Explainer, Whiteboard Animation|$10.00/hr|/2D Animation Software,Adobe Illustrator,VideoScribe,Animaker,Doodly,Adobe Premiere Pro,Adobe After Effects,Vyond,Adobe Photoshop,Powtoon/2D Animation Types,2D Animation,Whiteboard Animation,Traditional Animation,Animated Explainer/Other Skills|https://www.upwork.com/fl/~01f88d129d1dc4a81e?s=1017484851352698941
490|Lahore Cantt, Pakistan|100%|TOP RATED|$10K+|17|145|As Needed - Open to Offers|English: Fluent|"Architectural 3D rendering| Interior design| 3D Modeling| 3D animation"|$25.00/hr|/3D Animation Deliverables,Industrial Product,3D Animation,Interior Design Animation/3D Animation Software,Autodesk 3ds Max,Lumion/Other Skills|https://www.upwork.com/freelancers/~01a9fd7dd919ae84a2?s=1044578476142100490
242|Lviv, Ukraine|100%|TOP RATED PLUS||255|989|More than 30 hrs/week|English: Conversational,Russian: Native or Bilingual,Ukrainian: Native or Bilingual,Polish: Conversational|3D animatons for real estate|$45.00/hr|/Other Skills,Architectural Design|https://www.upwork.com/freelancers/~01da94dc7b10313ac1?s=1044578476142100490
433|Tbilisi, Georgia|100%|TOP RATED PLUS||41|3,517|As Needed - Open to Offers|English: Fluent,French: Basic|CG Generalist|$65.00/hr|/3D Animation Deliverables,Character Design,3D Vehicle Modeling,Animated Environment,3D Animation,Furniture Design,Logo Design,Animation for Streamers,Industrial Product,Jewelry,Industrial Design/3D Animation Software,Adobe Photoshop,Autodesk 3ds Max,Pixologic Zbrush,Autodesk Maya/Other Skills,V-Ray,Adobe After Effects,Corona Renderer,Clothing|https://www.upwork.com/freelancers/~01330a3158b0f25725?s=1044578476142100490
1450|Bucuresti, Romania|100%|TOP RATED PLUS||19|2,248|More than 30 hrs/week|English: Native or Bilingual|3D Artist|$50.00/hr|/AR/VR Design Skills,Virtual Reality,Visual Effects,3D Animation,Augmented Reality/AR/VR Design Software,Adobe After Effects,Unity,Autodesk 3ds Max,Autodesk Maya/Other Skills|https://www.upwork.com/freelancers/~010bf981d1cc0a95c5?s=1044578476142100498
1279|Kyiv, Ukraine|100%|TOP RATED||121|255|More than 30 hrs/week|English: Basic,Ukrainian: Native or Bilingual|Spark AR. Instagram AR Filter|$60.00/hr|/AR/VR Design Skills,Virtual Reality,Visual Effects,Motion Graphics,3D Animation/AR/VR Design Software,Paint Space AR/Other Skills|https://www.upwork.com/freelancers/~01527e5db2f45d8659?s=1044578476142100498
994|Onalaska, United States|100%|TOP RATED PLUS|$50K+|245|117|Less than 30 hrs/week|English: Native or Bilingual|Professional On-Screen Spokesperson|$150.00/hr|/Age,Senior Adult,Middle-Aged Adult/Languages,US English Dialect/Gender,Male/Accents,US English Dialect/Other Skills|https://www.upwork.com/freelancers/~0172b7413f1ea974d3?s=1110580746887090176
739|Islamabad, Pakistan|95%|TOP RATED PLUS||14||More than 30 hrs/week|English: Fluent,Urdu: Native or Bilingual,Hindi: Fluent|Spokesperson|$10.00/hr|/Languages,English,Urdu,Hindi,Indian English Dialect/Gender,Female/Accents,Indian English Dialect/Age,Middle-Aged Adult/Acting Type,Acting/Other Skills,Voice-Over,Voice Acting,Video Advertising,Spoken Communications Spoken,Adobe Premiere Pro,Professional Tone,Green Screen,Video Editing,Consumer Review,Product Documentation|https://www.upwork.com/fl/~01fd31ec3514975cb1?s=1110580746887090176
442|Cary, United States|100%|TOP RATED||152||As Needed - Open to Offers|English: Native or Bilingual|Prompt and Professional Voice Over Artist|$40.00/hr|/Gender,Female/Age,Young Adult,Middle-Aged Adult/Accents,US English Dialect,British English Accent/Languages,English/Other Skills,Voice Acting,ADR,American English Accent,Audio Editing,Voice-Over|https://www.upwork.com/fl/~0172caf1ddce27c70d?s=1110580746887090176
96|Modesto, United States|100%|TOP RATED|$30K+|38|212|More than 30 hrs/week|English: Native or Bilingual,Spanish: Native or Bilingual|"High-end Digital Retoucher | Creative Design"|$75.00/hr|/Art Direction Skills,Art Direction,Brand Guidelines/Art Direction Projects,Digital Design/Other Skills,Photo Restoration,Photo Retouching,Graphic Design,Photo Manipulation,Photo Impact,Logo Design,Brand Identity,Photo Editing,Adobe Creative Suite,Image Editing,User Experience,Adobe XD,Wireframing,User Experience Design,Website Prototyping|https://www.upwork.com/freelancers/~015c2783b10bb76697?s=1044578476142100484
558|Auckland, New Zealand|100%|TOP RATED PLUS||150|8,523|As Needed - Open to Offers|English: Fluent|Art Director/Branding Specialist/Graphic Designer/Creative|$65.00/hr|/Art Direction Projects,Digital Design,Visual Communication,Traditional Illustration,Interactive Design,Marketing,Audiovisual,Copywriting,Print Design,Advertising,Fashion & Beauty,Web Design/Art Direction Skills,Leadership Skills,Brand Guidelines,Campaign Management,Concept Design,Content Production,Project Management/Other Skills,Adobe Creative Suite,Graphic Design|https://www.upwork.com/freelancers/~011673b01c4dd3a3b6?s=1044578476142100484
269|Dhaka, Bangladesh|100%|TOP RATED|$30K+|177|1,508|As Needed - Open to Offers|English: Fluent|Podcast Editor / Producer|$25.00/hr|/Audio Editing Software,Adobe Audition,Audacity/Audio Editing Deliverables,Sound Mixing,Music Placement,Noise Reduction,ID3 Tags,Audio Editing,Audio Restoration,Audio Post Production/Other Skills,Podcast,Audio Mastering,Podcast Show Notes,Audio Production,Audio Engineering,Podcast Production|https://www.upwork.com/freelancers/~011fee5a80994bca40?s=1110580748338319360
