job_id|freelancer_id|job_title|job_description|hourly_rate|weekly_hours_needed|project_length|experience_level|skills_required|earnings|feedback_for_freelancer|client_location|feedback_for_client|job_link
0|268|Book graphic/editorial designer and formatting for publishing including book cover.|Looking for someone to convert my book manuscript on microsoft word docx into its printable book design. The work will also include designing the front cover and backpages. In addition, to adding images to the book and reviwing graphs.  The books dimensions will be  7inches x 4.5 inches.||Less than 30 hrs/week|Less than a month|Intermediate|/Editorial Design Skills,Graphic Design,Print Design,Formatting,Layout Design/Editorial Design Type,Book/Book Genre,Nonfiction/Other,Book Cover||5.0|Australia Tingalpa|5.00|https://www.upwork.com/jobs/~010ab003d2f7054c04
0|268|InDesign expert for internal page formatting/typesetting for a non-fiction book|I require an Adobe InDesign expert to help me complete the page formatting/typesetting process for a non-fiction book. The book consists of a total of 137,000 words (including 39 footnotes), as well as 55 images and 3 tables. It also includes an Index which will require formatting within the page layout design. In additon, the manuscript contains some mathematical equations.    Regarding the scope for this formatting/typesetting project – I've already created a draft page layout design for the 6 inches X 9 inches trim size dimensions of the book (including the relevant Paragraph styles) using Adobe Indesign CS6. Your task will be to continue on with the page formatting/typesetting process for the entire manuscript using these Paragraph styles (plus create the Index at the back of the book).  PLEASE NOTE: I'll need to be able to open your final InDesign page layout file using Adobe Indesign CS6 in order to be able to make any proofreading corrections that the author requires.  I've attached an example PDF file to demonstrate the draft page layout design for this book||||Intermediate|/Editorial Design Skills,Typesetting,Formatting/Other,Adobe InDesign,Page Layout Design,Book||5.0|Australia Brisbane|5.00|https://www.upwork.com/jobs/~01a958be37c72f7af6
0|279|Angla brand|I’m interested in working with you on some of my designs for my brand.||Less than 30 hrs/week|Less than a month|Intermediate|Photo Restoration,Image Editing,Photo Editing,Typography,Print Design,Adobe Photoshop,Sticker Design,T-Shirt Design,CorelDRAW,Adobe Illustrator,T-Shirt,Graphic Design,Clothing & Merchandise Design,Digital Illustration|$15.00|5.0|United States West Blooomfield|5.00|https://www.upwork.com/jobs/~01381b303889af8901
0|1531|Menswear Slim Fit High Rise Jeans|Looking for an experienced fashion designer, to take a high-end jeans concept and create designs, supporting through the manufacturing process.  Very much looking for somebody to collaborate with who can help bring the concept to reality.  The initial piece of work will be to take the concept (menswear slim fit high rise jeans), create sketches, design and work through prototype process with a manufacturer.  If this is of interest I can talk through the brief in more detail.||Less than 30 hrs/week|Less than a month|Intermediate|Fashion Design,Product Design,Illustration,Adobe Illustrator,Adobe Photoshop,Vector Graphic,Print Design,Product Development,Fashion Consultation,Clothing,Sizing|$938.00|5.0|United Kingdom Leeds|5.00|https://www.upwork.com/jobs/~01225f47b3aa3f294d
0|1333|Adobe Illustrator Technical Illustrator for Sewing Patterns|Deliverables:  Vector Drawings for the Home Sewer Construction instructions. Changes to existing drawings. Icons, charts, labels, fabric layouts.  Infrequent or maybe weekly help with odds and ends for drawings to take the load off of other designers.||Less than 30 hrs/week|1 to 3 months|Entry level|/Fashion Types,Haute Couture,Made-to-Measure/Types of Clothing,Activewear,Bridalwear/Other,Illustration,Graphic Design,Adobe Illustrator,3D Design,3D Rendering,Concept Design,Fashion & Beauty|$1,252.00||United States Shirley|5.00|https://www.upwork.com/jobs/~01a64076ea7df99e02
0|1333|Sewing Tutorial Creator|I am looking for someone to create ongoing sewing tutorials and digital patterns as the project requires. This would require shots of the materials (2-4), each step in the process, and many final product shots(8-15).  If able to create sewing videos as well that is a plus but not required. You can provide project ideas or I will provide project Ideas. In addition to photos, you will be responsible for the materials list, steps to create the project, an intro and ending paragraph as well. (so you will actually be making the project). In some cases, you may need to create a digital pattern in PDF form.  A Few examples: https://www.sewcanshe.com/blog/easy-peasy-backpack-with-a-zipper-pocket-free-tutorial http://www.sewcando.com/2015/06/ooh-la-la-its-bon-voyage-duffel-bag.html  Some projects are simple and others a little more complex. They will vary from fun scrap projects to bag projects, to even some clothing projects.  Example of the style of video would like if able https://www.youtube.com/watch?v=tEGwQqQVjtk While video is a plus it isn't required.    The budget will vary some depending on the project as well as if video is included.||||Entry level|Sewing,sewing tutorial,sewing projects,how to|$180.00||United States Prosper|5.00|https://www.upwork.com/jobs/~012df869c1fede19f5
0|1333|Sewing Tutorial Creator|I am looking for someone to create ongoing sewing tutorials and digital patterns as the project requires. This would require shots of the materials (2-4), each step in the process, and many final product shots(8-15).  If able to create sewing videos as well that is a plus but not required. You can provide project ideas or I will provide project Ideas. In addition to photos, you will be responsible for the materials list, steps to create the project, an intro and ending paragraph as well. (so you will actually be making the project). In some cases, you may need to create a digital pattern in PDF form.  A Few examples: https://www.sewcanshe.com/blog/easy-peasy-backpack-with-a-zipper-pocket-free-tutorial http://www.sewcando.com/2015/06/ooh-la-la-its-bon-voyage-duffel-bag.html  Some projects are simple and others a little more complex. They will vary from fun scrap projects to bag projects, to even some clothing projects.  Example of the style of video would like if able https://www.youtube.com/watch?v=tEGwQqQVjtk While video is a plus it isn't required.    The budget will vary some depending on the project as well as if video is included.||||Entry level|Sewing,sewing tutorial,sewing projects,how to|$180.00||United States Prosper|5.00|https://www.upwork.com/jobs/~012df869c1fede19f5
0|1333|Need a fashion designer to help me design and make a sewing manual for 3 types of hair bows|-Proficiency at using Adobe -Passionate freelancer|$20.00|Less than 30 hrs/week|Less than a month|Intermediate|/Fashion Expertise,Fashion Illustration,Fashion Design,Technical Design/Fashion Project Types,Fashion Pre-Production/Other,Adobe Illustrator,Adobe Photoshop,Fashion Illustration,Design & Usability Research|$1,420.00|5.0|Canada Toronto|5.00|https://www.upwork.com/jobs/~0197d6315881f3b334
0|1333|Sewing Tutorial Creator|I am looking for someone to create ongoing sewing tutorials and digital patterns as the project requires. This would require shots of the materials (2-4), each step in the process, and many final product shots(8-15).  If able to create sewing videos as well that is a plus but not required. You can provide project ideas or I will provide project Ideas. In addition to photos, you will be responsible for the materials list, steps to create the project, an intro and ending paragraph as well. (so you will actually be making the project). In some cases, you may need to create a digital pattern in PDF form.  A Few examples: https://www.sewcanshe.com/blog/easy-peasy-backpack-with-a-zipper-pocket-free-tutorial http://www.sewcando.com/2015/06/ooh-la-la-its-bon-voyage-duffel-bag.html  Some projects are simple and others a little more complex. They will vary from fun scrap projects to bag projects, to even some clothing projects.  Example of the style of video would like if able https://www.youtube.com/watch?v=tEGwQqQVjtk While video is a plus it isn't required.    The budget will vary some depending on the project as well as if video is included.||||Entry level|Sewing,sewing tutorial,sewing projects,how to|$180.00|5.0|United States Prosper|5.00|https://www.upwork.com/jobs/~012df869c1fede19f5
0|859|3 Brand-aligned Designs/Fine Art for Shirts|"Hello Artists!  We are seeking new illustrations / designs for our retail line. We're establishing the brand re-fresh with the below aesthetic guidelines.  Currently the focus is new designs for t-shirt/tanks on unisex and women's blanks.  We'd like to start with 3 different but aligned designs, with option to re-hire for more since we'll need about 10 total for our next run.  BACKGROUND: The brand (Melrose Moto) was built out of our busy motorcycle service shop, which extended into gear sales and now everyday apparel. We are on a busy boulevard attracting a mix of non-riding individuals as well as moto enthusiasts and avid riders. The shop has a classic, dark wood design, tin tiled ceiling, plays classic rock, displays clothing with metal piping, housing casual but fashionable fits and fabrics for men and women.  GOAL: 1) Grab non-riding shoppers off the street using less motorcycle specific designs (we have a hand full of motorcycle art on shirts already) and more cross over themes. 2) Build our 'look' with the below brand guides which carve out our own space against our competitors.    NEEDED: ROUND ONE is a total of 3 new illustration designs. - 2 brand-aligned designs that use cross-over themes of freedom, open road, moving     forward, taking the wheel, adventure, peace of mind, - 1 new moto-inspired design.  Style of art we like: -line-design -fine art soft brush paint -sketch / charcoal  *NO* skulls/eagles/flags/comic cartoons/harley themes/rocker/goth   *****MELROSE MOTO BRAND GUIDES***** VISUAL EXAMPLES ATTACHED AS A STARTING GUIDE ONLY  Color & Style: -golds -deep red/blue/green -1920/30s art / bikes -regal -classic lean fonts -soft brush/poster art (see images attached)  *we don't need to use our past logos  Main Themes/Symbols/Targets:  1) Industrial-creative era: wheels/gadgets/bike parts/the-making-of/building/locomotives, riders that value mechanics, bikes are works of art. Symbols of the industrial era & Renaissance men/women.  2) Early century racer bikes, track winners, famous races  3) Transport /Magic- freedom, serenity, desert, mountain scenes, open, possibilities, journey. dreamers. 'City of Dreams'. 'Magic Metropolis'.  Additional outlier theme: (take a stab only if this excites you/ is your forte) 4) 90s inspired  (VHS/cassette/famous tv shows/characters/cars) but minimal. Vibrant secondary blues/purples/pinks - 80s 90s fonts and more generic slogans.  LOGO/SLOGAN OPTIONS: If desired, words to use, not necessary. We don't want to add our logo to everything: ""Melrose Moto"", ""Melrose Ave"", ""Melrose Motorcycle Company"". ""Never Quit"" ""Carpe Dium"" ""Head Up"" ""Do It"" ""Keep On"" ""Facing Forward"" ""Forward Motion"" “The places you'll go"" ""Go Outside"" ""Go Your Own Way"" ""Make Your Mark"" ""Come Together""  If applying these, we'd like to see with and without words.  Please let me know if you have any questions! Please take a look at our brand attachment. Juliana"|||||Adobe Photoshop,Illustration,Adobe Illustrator,Graphic Design,T-Shirt Design,Concept Artistry,Print Design,Drawing,Fine Art|$300.00|5.0|United States Los Angeles|5.00|https://www.upwork.com/jobs/~0106a1ebf9cff76103
0|859|Painting of a vision|I am in need of an artist, someone who can paint, use acrylics, digital painting, etc..  I am working on a cover for my book, but this piece is extra special to me as it is of a vision of my daughter I lost. So I plan on having this piece also framed in my home.  This book is a Christian memoir, and this vision is an essential piece to this book as it is to my heart. It doesn’t need to be a very big piece, maybe an 8x10. But there needs to be detailed to my vision.  There maybe other projects from this later as well.  Thank you for your interest and support with this special project.|||||/Analog Art Types,Drawing,Painting/Other,Oil Painting,Concept Artistry,Digital Painting,Illustration|$150.00|4.15|United States Anacortes|4.15|https://www.upwork.com/jobs/~0169eded52d8a1bd36
0|859|Seeking Colorful Painting for Livingroom|My husband and I are In the process of going to a more neutral color theme to brighten our livingroom. We are looking for a sofa sized, framed painting to go over an off white couch. Thinking of an outdoorsy wild flower abstract style scene with lots of color and texture. Navy blue and coral are primary colors at present but don’t want to be committed to just those colors. The more color the better! Pinks and blues are favorites. Ive added photos of the area. New couch will be a little longer than one pictured which is 96”.|$40.00|Less than 30 hrs/week|Less than a month|Intermediate|Colorful Style,Acrylic Painting,Textured painting,floral landscape|$2,060.00|5.0|United States Fort Worth|5.00|https://www.upwork.com/jobs/~010f69fa13d5b36c20
0|859|Need an outstanding mural designed for our new coworking space!|"We are creating a small office rental and coworking space that primarily caters to entrepreneurs and artists. We have 22 individual offices plus a larger coworking room where we will have people who would like to work in a shared space or artists looking for a temporary studio space. The key demographic here is startup business owners/entrepreneurs , independent artists, or the type of people that frequent Starbucks to try and get some work down out of the house. Since we are targetting entrepreneurial and creative types, the mural should be enticing to this demographic as well as to city officials.  We plan on partnering with local art classes to see if we can involve local middle and high school art students, so we need a top notch artist to design a mural we can then give to local painters to put on the wall.  The name of the building is ""Historic Jonesboro Executive Offices and Coworking""  The wall is divided by two columns, creating 3 potential canvas areas. The mural can either be three individual but related designs, or one large design for the entire wall, with or without use of columns. We are open to any creative ideas you might have. The wall is primarily brick, so that should be taken into consideration with amount of detail in the design. We would very much like to keep the brick texture of the wall. Ideally a lighter color scheme should be used as well, as we do not what to make the room look ""smaller"" with too many dark colors.  We only have two creative requirements:  1) The mural MUST be a mural focused on Jonesboro, Georgia, USA. Jonesboro is located just south of Atlanta, Georgia. The building is located in the heart of Jonesboro in the historic district, so the mural MUST be about Jonesboro.  Ideally, the mural will include cultural aspects of the city as well. Given the name of the building, we want to lean into the history and culture of the city. It can include past, present, or future themes of the city, or any notable citizens you may come across. Additional inclusions can come from Clayton County, Georgia as well, which is where Jonesboro is located, but again, the main focus should be the city itself. Bottom line, if the mural design does not have a major focus on Jonesboro, GA then it will not be considered.  2) The movie Gone With The Wind (filmed in Jonesboro) should NOT be a primary focus of the mural. It can be included in some MINOR elements, but we do not want it to be a Gone with the Wind mural. There are already plenty of those in Jonesboro. So, it's an overdone concept.  There is also a new park and government complex being constructed close by, called Lee Street Park and Amphitheatre, which could also be a good inclusion. Basically, we are looking for something that would make residents of Jonesboro and the city council proud.  The mural can be thought provoking or a little provocative if you choose. Clayton County has a checkered past and historical issues with racism, but obviously we don't want anything to be too critical of the city or county. The city and county are also experiencing a large demographic shift with African Americans being the largest source of population growth, so this should be taken into account either in design itself or considerations for what not to include. Our tenant base is also majority African American.  Finally, if not already included, the design should also include a full release for our use and distribution, and to be recreated on our wall as a mural.  Unfortunately, I am not very familiar with the city or its history as I do not live close by and haven't had much time to investigate, so I won't be much help in providing historical or cultural ideas at the moment. That being said, I look forward to learning more about the city through your ideas!  Wall dimensions:  Left panel: 70"" wide x 110"" tall (177cm x 279cm) Middle panel: 86.5"" wide x 110"" tall (220cm x 279cm) Right Panel: 63"" wide x 110"" tall (160cm x 279cm) Column width: 9.5"" (24cm) Total wall: 257.5"" wide x 123"" tall (654cm x 312cm)  Here are some website to help with some research:  Jonesboro: https://en.wikipedia.org/wiki/Jonesboro,_Georgia https://www.jonesboroga.com/ Lee Street Park and Amphitheatre: https://www.jonesboroga.com/LeeStreetPark.aspx  Clayton County: https://www.claytoncountyga.gov/ https://en.wikipedia.org/wiki/Clayton_County,_Georgia"|||||/Analog Art Types,Painting/Other,Graphic Design,Illustration,Print Design,Contemporary Style,Adobe Photoshop,Adobe Illustrator,Layout Design,Mural|$720.00||United States Smyrna|5.00|https://www.upwork.com/jobs/~01745703ce6de2a150
0|859|Need an outstanding mural designed for our new coworking space!|"We are creating a small office rental and coworking space that primarily caters to entrepreneurs and artists. We have 22 individual offices plus a larger coworking room where we will have people who would like to work in a shared space or artists looking for a temporary studio space. The key demographic here is startup business owners/entrepreneurs , independent artists, or the type of people that frequent Starbucks to try and get some work down out of the house. Since we are targetting entrepreneurial and creative types, the mural should be enticing to this demographic as well as to city officials.  We plan on partnering with local art classes to see if we can involve local middle and high school art students, so we need a top notch artist to design a mural we can then give to local painters to put on the wall.  The name of the building is ""Historic Jonesboro Executive Offices and Coworking""  The wall is divided by two columns, creating 3 potential canvas areas. The mural can either be three individual but related designs, or one large design for the entire wall, with or without use of columns. We are open to any creative ideas you might have. The wall is primarily brick, so that should be taken into consideration with amount of detail in the design. We would very much like to keep the brick texture of the wall. Ideally a lighter color scheme should be used as well, as we do not what to make the room look ""smaller"" with too many dark colors.  We only have two creative requirements:  1) The mural MUST be a mural focused on Jonesboro, Georgia, USA. Jonesboro is located just south of Atlanta, Georgia. The building is located in the heart of Jonesboro in the historic district, so the mural MUST be about Jonesboro.  Ideally, the mural will include cultural aspects of the city as well. Given the name of the building, we want to lean into the history and culture of the city. It can include past, present, or future themes of the city, or any notable citizens you may come across. Additional inclusions can come from Clayton County, Georgia as well, which is where Jonesboro is located, but again, the main focus should be the city itself. Bottom line, if the mural design does not have a major focus on Jonesboro, GA then it will not be considered.  2) The movie Gone With The Wind (filmed in Jonesboro) should NOT be a primary focus of the mural. It can be included in some MINOR elements, but we do not want it to be a Gone with the Wind mural. There are already plenty of those in Jonesboro. So, it's an overdone concept.  There is also a new park and government complex being constructed close by, called Lee Street Park and Amphitheatre, which could also be a good inclusion. Basically, we are looking for something that would make residents of Jonesboro and the city council proud.  The mural can be thought provoking or a little provocative if you choose. Clayton County has a checkered past and historical issues with racism, but obviously we don't want anything to be too critical of the city or county. The city and county are also experiencing a large demographic shift with African Americans being the largest source of population growth, so this should be taken into account either in design itself or considerations for what not to include. Our tenant base is also majority African American.  Finally, if not already included, the design should also include a full release for our use and distribution, and to be recreated on our wall as a mural.  Unfortunately, I am not very familiar with the city or its history as I do not live close by and haven't had much time to investigate, so I won't be much help in providing historical or cultural ideas at the moment. That being said, I look forward to learning more about the city through your ideas!  Wall dimensions:  Left panel: 70"" wide x 110"" tall (177cm x 279cm) Middle panel: 86.5"" wide x 110"" tall (220cm x 279cm) Right Panel: 63"" wide x 110"" tall (160cm x 279cm) Column width: 9.5"" (24cm) Total wall: 257.5"" wide x 123"" tall (654cm x 312cm)  Here are some website to help with some research:  Jonesboro: https://en.wikipedia.org/wiki/Jonesboro,_Georgia https://www.jonesboroga.com/ Lee Street Park and Amphitheatre: https://www.jonesboroga.com/LeeStreetPark.aspx  Clayton County: https://www.claytoncountyga.gov/ https://en.wikipedia.org/wiki/Clayton_County,_Georgia"|||||/Analog Art Types,Painting/Other,Graphic Design,Illustration,Print Design,Contemporary Style,Adobe Photoshop,Adobe Illustrator,Layout Design,Mural|$80.00|5.0|United States Smyrna|5.00|https://www.upwork.com/jobs/~01745703ce6de2a150
0|859|ISO Incredible Artist for digital art, painting and logo|My business is life coaching as a specialist in trauma. I use many modalities and tools to work with my clients and get to the root of their trauma.(yes this is all relevant tit he project, keep reading)  Through the healing process comes empowerment and out of the empowerment comes purpose, direction, understanding, energy renewal and the confidence needed to rebuild and recreate. I help my clients obtain and work toward their life’s purpose, break old habits that no longer serve and reach for the highest potential self.  The name of my website is The Lotus and The Lion. There is a long story behind the name but to simplify it, it’s another representation of yin and yang, light and dark, soft and small, big and strong. Both the lotus and the lion individually are very symbolic throughout ancient history. Symbols of enlightenment, strength, power, effortless thriving..:you get it.  I am also a Mayan Astrologer and use this ancient wisdom and marry it with today’s science of the mind, the body and emotions.  Now for the project, currently the website has a photo of me on the front and my son is still in the creation process but it’s close to done. It just needs the art and a logo to complete.  I think a timeless art piece rich in symbolism, incorporating the cholq’ij (Mayan calendar), the Lion, the lotus with a feeling of healing, universal keys, strength, empowerment and gratitude is the feelings that I’m going for. I would love to have an actual painting of it in my studio and a digital version on the website.  Over time I expect this project to evolve into something much larger than just coaching. Public speaking, retreats, workshop events, a shop and  books are all to come in the future which could mean more work for the artist if I’m happy with the result.  I originally had the thought of a Lion standing at the foot of a lotus pond staring into the water and what he sees back instead of his own reflection is a lotus. I feel it shows that we aren’t always what we project to the world and that the toughest exteriors can have a soft interior. Though I’m not stuck on that vision and still open to ideas.  Looking forward someone who can paint and also convert the actual painting into digital art. I’m interested either way.  Also looking for a simple logo and possible branding....||||Intermediate|/Analog Art Types,Painting/Other,Graphic Design,Branding,Logo Design,Digital Art|$1,375.00||United States West Point|5.00|https://www.upwork.com/jobs/~016075f654152942a8
0|444|Artist to Sketch Drawings|Hi,  I am looking for someone to sketch 3 drawings for me. The drawings will be inspired by an NFT project. I will provide the inspiration. Look forward to hearing from you!||||Intermediate|Sketch,Drawing,Sketching,Illustration,Line Drawing,Freestyle Drawing,Painting,Oil Paint|$40.00||Canada Toronto|5.00|https://www.upwork.com/jobs/~0181fbc44865c024d0
0|444|Drawing|"18""X24"" drawing of two different drawings put together, each being 9""X12"""||||Intermediate|Drawing,Freestyle Drawing|$800.00||United States Warner Robins|5.00|https://www.upwork.com/jobs/~012562c33b5997d748
0|444|Need still life drawing in long form in graphite|Need a long form still life done in graphite. The still life has not yet been selected. The project needs to be completed by March 25. There is an additional project that may be needed but we would need to see the initial product create don the first project.||Less than 30 hrs/week|1 to 3 months|Intermediate|Illustration|$450.00|5.0|United States Warner Robins|5.00|https://www.upwork.com/jobs/~0171574b9bd168976b
0|444|Artist to Sketch Drawings|Hi,  I am looking for someone to sketch 3 drawings for me. The drawings will be inspired by an NFT project. I will provide the inspiration. Look forward to hearing from you!||||Intermediate|Sketch,Drawing,Sketching,Illustration,Line Drawing,Freestyle Drawing,Painting,Oil Paint|$201.99|5.0|Canada Toronto|5.00|https://www.upwork.com/jobs/~0181fbc44865c024d0
0|444|Tracing a Map, and drawing on the map|"I need the attached map named ""area of map"" to be traced - (NOT neccessary by computer)  the roads (yellow) need to be traced. The water ( blue) - the rivers as well comming into rotterdam and antwerp need to be traced.  - no writing of any names - no national borders - no tracing of any white roads.  Once the tracing is done, i need it to to be with drawings like in attachent, named ""style of"" you will see there are boats and fishes in the water.... and cars, animals, trees on the land.  so if you are willing to take this job, it will be ongoing and many, i just want to see what you can do with 6 usd worth of your time...  hope it works out  miten"||||Entry level|/Illustration Type,2D Illustration,Advertising Illustration,Business Illustration,Map Illustration/Illustration Style,Contemporary Style,Graffiti,Organic & Natural Style,Retro & Vintage Style,Abstract Style,Black & White Style,Blueprint Style,Cartoon Style,Colorful Style,Geometric,Hand-Drawn Style,Isometric Style,Modern Style,Monochromatic/Illustration Deliverables,Concept Artistry/Other,Graphic Design,Illustration,Infographic,Map Visualization,Children's Literature,Playful Tone,Arts & Crafts,Corporate Style,Feminine,Informative Art,Manga,Fashion Illustration|$6.00||Belgium Antwerpen|3.80|https://www.upwork.com/jobs/~01136abb946b9315e6
0|444|Digital Illustrations in Urban Sketching Style|Digital Illustrations needed using urban Sketching Style. Illustrations depend on topic. They shell be printed on e.g. postcards. Example: I need a drawing of a dog. I will tell you what kind of dog, his mood, the place it is etc. Will pay per illustrations. about 20 needed.||||Entry level|Drawing,Illustration,Sketching,Adobe Illustrator|$20.00|5.0|Germany Garmisch|5.00|https://www.upwork.com/jobs/~013bc871942c274990
0|444|Hand-draw a portrait with 2 people on it|Hi there Looking for someone to draw a picture, but just the 2 people without the background. See picture and examples attached. Deadline is Thursday afternoon CEST (UTC+2). Thanks!||||||$25.00|5.0|France Etoile-Sur-Rhône|5.00|https://www.upwork.com/jobs/~012191b25dc83c64f2
0|444|Artist needed for drawing of me - by the end of the day|Looking for someone to draw a picture of me - further details will be explained in the hiring stage||||Entry level|/Illustration Style,Realistic,Modern Style,Black & White Style,Contemporary Style,Art Deco/Illustration Type,Vector Graphic/Other,Cartoon Art,Comics,Playful Tone|$25.00|5.0|United Kingdom Uk|5.00|https://www.upwork.com/jobs/~0191bc8ba52ccc1e8c
0|1023|Artist needed to help create art for a Fantasy world|Help creating art for Fantasy Universe  Ethangar is a high fantasy world of swords, crossbows and magic.  I need a talented writer to help me come up with back story in this world||||Intermediate|/Illustration Deliverables,Concept Artistry,Character Design/Illustration Software,Sketch/Other,Arts & Crafts|$662.00||United States Albuquerque|5.00|https://www.upwork.com/jobs/~01b72e25ee759b048f
0|1023|We are looking for designer who can create a character for our Crypto Currency Brand|We are looking for designer who can create a character for our Crypto Currency Brand.  We are thinking to use Plutos (God of fertility) as our main character and we will going to adapt some brand related visuals into this character. SS attached.  Candidates needs to send their earlier experiences in the area of character design when they are applying for this job.  We don't have a specific budget for this project so candidates needs to send their proposals.  Project deadline is 24 July, we need to complete this task till this date.||||Intermediate|Illustration,Character Design,Adobe Illustrator|$90.00|4.8|Turkey Istanbul|4.80|https://www.upwork.com/jobs/~016f28bd5d0c798a8c
0|1023|Sketch 6 Fantasy Races Male and Female concept art for Fantasy board game|Hello, thanks for your interest.  I am creating a board game in a Fantasy world and need a talented artist to help with concept art for 6 of the races that will be in this world.     Looking for pencil/sketch work at this time but looks for longer term relation with artist.  The 6 Races are  Crioshian  Appearance: Technology dependent suits. Tall and skinny humans with weak bones. Long slender limbs and digits, narrow heads with over dilated eyes. Bald heads. Pink skin.  (think somewhere between a regular human and the Kaminoan from starwars with more humanlike facial features)  Gilesian  Appearance: large eyed halflings, double light dampening eyelid make the eye look pure black, will retract in the dark for superior dark vision. with small antenna in third eye area.  Nissessi Alk  Appearance: Black scaly skinned snake like elf/arabian knights  Shepari Alk  Appearance: white high elves, large bat like ears, more vampire looking with bat like features.  Uracor  Appearance: full body haired wookie dwarfs , strong and stout, like what sasquatches with big lips . hair color white, blond, or red.  Worggers (Worg)  Appearance: Ork like,  narrow eyes, bald with green skin, very muscular,  a flaky salt residue on skin.  Tiny ears, large hands and feet.|||Less than a month||/Illustration Type,2D Illustration/Illustration Deliverables,Concept Artistry,Character Design/Illustration Software,Sketch/Illustration Style,Realistic/Other,Comics|$625.00|5.0|United States Albuquerque|5.00|https://www.upwork.com/jobs/~017f97b575237e2f84
0|1023|Original Character Design, Minotaur Dragon|Minotaur Dragon ( Fluffy Highlander Variant )  EYES Chromatic ( Rainbow )  HAIR Light Brown fur  SKIN Bluish grey ============================================ [ see file for reference ]  Replace the normal flames with rainbow flames  Replace clothes with hair ============================================  I'm only expecting 18 hours of actual work over the course of 1 to 3 months||||Entry level|Character Design|$150.00|5.0|United States Essex Jct|5.00|https://www.upwork.com/jobs/~0112cd7a2f2f0d852a
0|1023|Sketch 6 Fantasy Races Male and Female concept art for Fantasy board game|Hello, thanks for your interest.  I am creating a board game in a Fantasy world and need a talented artist to help with concept art for 6 of the races that will be in this world.     Looking for pencil/sketch work at this time but looks for longer term relation with artist.  The 6 Races are  Crioshian  Appearance: Technology dependent suits. Tall and skinny humans with weak bones. Long slender limbs and digits, narrow heads with over dilated eyes. Bald heads. Pink skin.  (think somewhere between a regular human and the Kaminoan from starwars with more humanlike facial features)  Gilesian  Appearance: large eyed halflings, double light dampening eyelid make the eye look pure black, will retract in the dark for superior dark vision. with small antenna in third eye area.  Nissessi Alk  Appearance: Black scaly skinned snake like elf/arabian knights  Shepari Alk  Appearance: white high elves, large bat like ears, more vampire looking with bat like features.  Uracor  Appearance: full body haired wookie dwarfs , strong and stout, like what sasquatches with big lips . hair color white, blond, or red.  Worggers (Worg)  Appearance: Ork like,  narrow eyes, bald with green skin, very muscular,  a flaky salt residue on skin.  Tiny ears, large hands and feet.|||Less than a month||/Illustration Type,2D Illustration/Illustration Deliverables,Concept Artistry,Character Design/Illustration Software,Sketch/Illustration Style,Realistic/Other,Comics|$106.00|5.0|United States Albuquerque|5.00|https://www.upwork.com/jobs/~017f97b575237e2f84
0|1023|Adventure Game (Environment) Concept Art (rate per section)|Our studio is currently working on a new game prototype that requires conceptual design. Think Tomb Raider style chamber room filled with puzzles.  Design needs to be in sections of 1-2 puzzles, not all in one large illustration. Price quoted is based on $20 milestone payments for each puzzle concept(s) required. B/W sketch illustration is fine for our needs. Temple/Ruins art style required in your portfolio to be seriously considered.  Work needs to begin asap.||||Intermediate|/Illustration Software,Adobe Photoshop,Sketch/Illustration Deliverables,Concept Artistry/Other,Organic & Natural Style,Sketchbook Pro,Line Drawing,Black & White Style,Illustration|$60.00|5.0|United States Orlando|5.00|https://www.upwork.com/jobs/~012c1173f6aa127c60
0|47|Designer needed for 2D browser games|We are a team-building gaming company. Currently, after building a basic MVP, we're looking for a designer to take the game concept to the next level. You will work with a founder and a front-end developer. In particular, we will need re-design of 2D scenarios, characters, and props. If you have animation skills or video editing skills on top, we can collaborate on other projects too. Please share a link to your portfolio. Looking forward to working together!|$20.00|Less than 30 hrs/week|1 to 3 months|Intermediate|/Devices,Personal Computer/Game Art Skills,Animation,Concept Artistry/Game Deliverables,Character Design,Animated Environment,Game Asset/Game Dimension,2D Game Art/Game Genres,Puzzle/Game Style,Minimalist,Cartoon Art|$8,553.33||Switzerland Zurich||https://www.upwork.com/jobs/~0131cf4497f4220a77
0|47|Design for Casual Mobile Puzzle Game|I need initial design elements for a mobile puzzle game not unlike the popular Candy Crush Saga.  The theme of the game is viruses, and although this is a serious topic, the overall vibe and color scheme of the UI is supposed to be friendly and stylized.  For this assignment I need a single screen showing an example level (no menus, no animations).  The screen shows a grid with 4 different types of viruses each in 4 different colors. On the top of the screen is a level indicator as well as a score count.  The grid should contain be 7x7 tiles. Each tile has to contain one of the 16 (4x4) different virus options.  There should also be a fitting background art, either abstract or a drawing.  The goal of this assignment is to establish the graphical style of the game including font, colors, virus art, lines and areas.  As reference screen size is the iPhone X screen to be used.  The finished art is to be delivered as pixel graphics and if possible as vector graphics.  Also: the information in this text has precedence over the attached sketch in case of contradictions.|$35.00|Less than 30 hrs/week|1 to 3 months|Entry level|/Game Genres,Puzzle,Casual Fashion Style/Devices,Smartphone/Game Dimension,2D Game Art|$915.83|5.0|Germany Frankfurt Am Main|5.00|https://www.upwork.com/jobs/~01222a7c47fd404c80
